商品总数:  26
商品编码    商品名称    种类        进价        成本        售价        数量        销售总数    进货时间    
10013       卤蛋        食品        1           1.02        3           500         0           2024.6.9
10024       马桶刷      日用品      9           9.18        22          400         0           2023.11.11
10012       火腿肠      食品        2           2.04        5           300         0           2024.6.18
10023       抽纸        日用品      10          10.2        20          300         0           2024.5.4
10005       可乐        饮料        3           3.06        5           200         0           2023.7.3
10007       西瓜        水果        3           3.06        9           200         0           2024.5.3
10011       泡面        食品        2           2.04        6           200         0           2024.6.19
10014       橡皮        学习用品    1           1.02        3           200         0           2022.3.19
10015       筷子        餐具        5           5.1         15          200         0           2023.7.9
10026       洗面奶      日用品      30          30.6        50          123         0           2023.12.30
10004       苹果        水果        2           2.04        4           100         0           2024.4.1
10006       雪碧        饮料        3           3.06        5           100         0           2023.8.12
10009       香梨        水果        4           4.08        8           100         0           2023.10.5
10016       篮球        体育用品    100         102         130         100         0           2024.1.5
10017       足球        体育用品    100         102         130         100         0           2024.2.5
10018       羽毛球      体育用品    80          81.6        100         100         0           2024.3.2
10019       乒乓球      体育用品    30          30.6        50          100         0           2024.7.1
10020       排球        体育用品    50          51          80          100         0           2024.6.29
10008       钢笔        学习用品    5           5.1         10          90          0           2023.3.18
10021       陶瓷碗      餐具        12          12.24       32          53          0           2023.12.12
10022       银盘        餐具        54          55.08       106         40          0           2024.2.3
10001       记事本      学习用品    12          12.24       14          30          0           2024.1.2
10003       香蕉        水果        3           3.06        12          25          0           2024.3.4
10002       铅笔        学习用品    6           6.12        9           20          0           2022.11.2
10025       香皂        日用品      5           5.1         10          10          242         2024.7.7
10010       面包        食品        2           2.04        6           0           100         2024.5.2
